,Request Date (Local),Unnamed: 0,Employee ID,Distance (mi),Duration (min),Fare in KES,Service and Technology Fee,Total Charge in KES
0,2017-01-05,1,14.0,7.01,26,674.0,33.7,707.7
1,2017-01-09,9,26.0,10.43,98,1182.0,59.1,1241.1
2,2017-01-10,5,15.0,3.29,17,338.0,16.9,354.9
3,2017-01-11,30,22.0,17.759999999999998,92,1676.0,83.8,1759.8
4,2017-01-12,60,67.0,23.44,127,2204.0,110.2,2314.2
5,2017-01-13,85,48.0,27.1,126,2474.0,123.7,2597.7
6,2017-01-16,63,26.0,15.16,68,1361.0,68.05,1429.05
7,2017-01-17,72,32.0,16.11,71,1423.0,71.15,1494.15
8,2017-01-18,53,20.0,8.93,40,824.0,41.2,865.2
9,2017-01-19,57,23.0,6.46,26,643.0,32.15,675.15
10,2017-01-20,61,2.0,6.21,25,500.0,25.0,525.0
11,2017-01-23,65,22.0,8.57,44,700.0,35.0,735.0
12,2017-01-24,219,30.0,21.17,134,2000.0,100.0,2100.0
13,2017-01-25,348,65.0,32.28,127,2600.0,130.0,2730.0
14,2017-01-26,198,35.0,14.23,86,1300.0,65.0,1365.0
15,2017-01-27,270,31.0,21.330000000000002,123,2050.0,102.5,2152.5
16,2017-01-28,115,10.0,9.18,40,750.0,37.5,787.5
17,2017-01-30,59,8.0,5.04,13,300.0,15.0,315.0
18,2017-01-31,310,39.0,34.43,104,1750.0,87.5,1837.5
19,2017-02-01,1001,92.0,83.8,324,4950.0,247.5,5197.5
20,2017-02-02,489,72.0,35.05,135,2100.0,105.0,2205.0
21,2017-02-03,435,49.0,26.5,88,1600.0,80.0,1680.0
22,2017-02-06,181,22.0,8.43,31,550.0,27.5,577.5
23,2017-02-07,470,41.0,27.65,115,1700.0,85.0,1785.0
24,2017-02-08,804,63.0,48.82,150,2550.0,127.5,2677.5
25,2017-02-09,756,77.0,33.48,98,2150.0,107.5,2257.5
26,2017-02-10,339,19.0,15.24,56,900.0,45.0,945.0
27,2017-02-13,348,25.0,20.45,53,1050.0,52.5,1102.5
28,2017-02-14,478,29.0,27.96,87,1450.0,72.5,1522.5
29,2017-02-15,875,67.0,41.3,142,2350.0,117.5,2467.5
30,2017-02-16,390,33.0,14.370000000000001,61,950.0,47.5,997.5
31,2017-02-17,399,38.0,15.739999999999998,47,950.0,47.5,997.5
